reset,address,consumption,gym,timestamp,multiStepPredictions.actual,multiStepPredictions.1,multiStepPredictions.5,multiStepBestPredictions.actual,multiStepBestPredictions.1,multiStepBestPredictions.5,multiStepBestPredictions:multiStep:errorMetric='aae':steps=1:window=1000:field=consumption,prediction:trivial:errorMetric='aae':steps=5:window=1000:field=consumption,multiStepBestPredictions:multiStep:errorMetric='aae':steps=5:window=1000:field=consumption,prediction:trivial:errorMetric='aae':steps=1:window=1000:field=consumption
int,string,string,string,string,string,string,string,string,string,string,float,float,float,float
R,,,,,,,,,,,,,,
1,Shop 67 197-215 Condamine Street Balgowlah 2093,21.2,Balgowlah Platinum,2010-07-02 00:00:00,21.2,None,None,21.2,None,None,0,None,0,None
0,Shop 67 197-215 Condamine Street Balgowlah 2093,16.4,Balgowlah Platinum,2010-07-02 01:00:00,16.4,{21.2: 1.0},None,16.4,21.2,None,4.8,None,0,4.8
0,Shop 67 197-215 Condamine Street Balgowlah 2093,4.7,Balgowlah Platinum,2010-07-02 02:00:00,4.7,{21.2: 1.0},None,4.7,21.2,None,10.65,None,0,8.25
0,Shop 67 197-215 Condamine Street Balgowlah 2093,4.7,Balgowlah Platinum,2010-07-02 03:00:00,4.7,{19.759999999999998: 1.0},None,4.7,19.76,None,12.12,None,0,5.5
0,Shop 67 197-215 Condamine Street Balgowlah 2093,4.6,Balgowlah Platinum,2010-07-02 04:00:00,4.6,{15.241999999999997: 1.0},None,4.6,15.242,None,11.7505,None,0,4.15
0,Shop 67 197-215 Condamine Street Balgowlah 2093,23.5,Balgowlah Platinum,2010-07-02 05:00:00,23.5,{12.079399999999998: 1.0},{21.2: 1.0},23.5,12.0794,21.2,11.68452,2.3,2.3,7.1
0,Shop 67 197-215 Condamine Street Balgowlah 2093,47.5,Balgowlah Platinum,2010-07-02 06:00:00,47.5,{9.835579999999997: 1.0},{21.2: 1.0},47.5,9.83558,21.2,16.0145033333,16.7,14.3,9.91666666667
0,Shop 67 197-215 Condamine Street Balgowlah 2093,45.4,Balgowlah Platinum,2010-07-02 07:00:00,45.4,{47.5: 0.97499999999999853	 9.835579999999997: 0.012500000000000001	 23.5: 0.012500000000000001},{19.759999999999998: 1.0},45.4,47.5,19.76,14.0267171429,24.7,18.08,8.8
0,Shop 67 197-215 Condamine Street Balgowlah 2093,46.1,Balgowlah Platinum,2010-07-02 08:00:00,46.1,{9.835579999999997: 0.012500000000000001	 45.400000000000006: 0.97499999999999853	 30.7: 0.012500000000000001},{15.241999999999997: 1.0},46.1,45.4,15.242,12.3608775,28.875,21.2745,7.7875
0,Shop 67 197-215 Condamine Street Balgowlah 2093,41.5,Balgowlah Platinum,2010-07-02 09:00:00,41.5,{9.835579999999997: 0.012500000000000001	 46.1: 0.96249999999999858	 45.400000000000006: 0.012500000000000001	 30.7: 0.012500000000000001},{12.079399999999998: 1.0},41.5,46.1,12.0794,11.4985577778,30.48,22.90372,7.43333333333
0,Shop 67 197-215 Condamine Street Balgowlah 2093,43.4,Balgowlah Platinum,2010-07-02 10:00:00,43.4,{41.5: 0.94999999999999862	 9.835579999999997: 0.012500000000000001	 46.1: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 30.7: 0.012500000000000001},{9.835579999999997: 1.0},43.4,41.5,9.83558,10.538702,28.7166666667,24.6805033333,6.88
